(63165982b4c9b036b18a2c61,6316597f7fcbbaa866fae84f)	[2.74924373626709, 0.6461538461538462, 0.7, 0.6, 0.648074069840786, 0.4772727272727273]
(63165982b4c9b036b18a2c61,6316597f7fcbbaa866fae175)	[3.3518929481506348, 0.59375, 0.6333333333333333, 0.5588235294117647, 0.594913076530892, 0.4222222222222222]
(63165982b4c9b036b18a2c61,6316597f7fcbbaa866fae151)	[2.860787868499756, 0.6551724137931035, 0.6129032258064516, 0.7037037037037037, 0.6567360733292693, 0.4871794871794871]
(63165982b4c9b036b18a2c61,6316597f7fcbbaa866fae172)	[2.761763095855713, 0.5625, 0.5625, 0.5625, 0.5624999999999999, 0.391304347826087]
(63165982b4c9b036b18a2c61,6316597f7fcbbaa866fae858)	[2.674076795578003, 0.4772727272727271, 0.75, 0.35, 0.5123475382979799, 0.3134328358208955]
(63165982b4c9b036b18a2c61,6316597f7fcbbaa866fae195)	[2.495511054992676, 0.5142857142857143, 0.5806451612903226, 0.4615384615384615, 0.5176775776887457, 0.3461538461538461]
(63165982b4c9b036b18a2c61,6316597f7fcbbaa866fae165)	[3.1927378177642822, 0.6779661016949152, 0.6451612903225806, 0.7142857142857143, 0.6788442333021307, 0.5128205128205128]
(63165982b4c9b036b18a2c61,6316597f7fcbbaa866fae1a5)	[2.8616902828216557, 0.5882352941176471, 0.4838709677419355, 0.75, 0.6024144966768742, 0.4166666666666667]
(63165982b4c9b036b18a2c61,6316597f7fcbbaa866fae15d)	[2.724105834960937, 0.5714285714285715, 0.5806451612903226, 0.5625, 0.5715005715008572, 0.4]
(63165982b4c9b036b18a2c61,6316597f7fcbbaa866fae15f)	[2.6375019550323486, 0.5762711864406779, 0.5483870967741935, 0.6071428571428571, 0.5770175983068111, 0.4047619047619047]
(63165982b4c9b036b18a2c61,6316597f7fcbbaa866fae193)	[2.4263758659362797, 0.5588235294117647, 0.6129032258064516, 0.5135135135135135, 0.561011665589618, 0.3877551020408163]
(63165982b4c9b036b18a2c61,6316597f7fcbbaa866fae855)	[2.9309120178222656, 0.5479452054794521, 0.7142857142857143, 0.4444444444444444, 0.563436169819011, 0.3773584905660377]
(63165982b4c9b036b18a2c61,6316597f7fcbbaa866fae16d)	[3.1721177101135254, 0.625, 0.6666666666666666, 0.5882352941176471, 0.6262242910851494, 0.4545454545454545]
(63165982b4c9b036b18a2c61,6316597f7fcbbaa866fae845)	[2.466797113418579, 0.49438202247191, 0.6666666666666666, 0.3928571428571428, 0.511766315719159, 0.3283582089552239]
(63165982b4c9b036b18a2c61,6316597f7fcbbaa866fae178)	[3.122850179672241, 0.6785714285714286, 0.6785714285714286, 0.6785714285714286, 0.6785714285714285, 0.5135135135135135]
(63165982b4c9b036b18a2c61,6316597f7fcbbaa866fae846)	[2.730369806289673, 0.5208333333333333, 0.7352941176470589, 0.4032258064516129, 0.5445085523362901, 0.352112676056338]
(63165982b4c9b036b18a2c61,6316597f7fcbbaa866fae84e)	[3.2183449268341064, 0.5609756097560975, 0.7666666666666667, 0.4423076923076923, 0.5823251360731083, 0.3898305084745763]
(63165982b4c9b036b18a2c61,6316597f7fcbbaa866fae15e)	[2.555755138397217, 0.6181818181818182, 0.5483870967741935, 0.7083333333333334, 0.6232502388407516, 0.4473684210526316]
(63165982b4c9b036b18a2c61,6316597f7fcbbaa866fae179)	[2.906804084777832, 0.6181818181818182, 0.5483870967741935, 0.7083333333333334, 0.6232502388407516, 0.4473684210526316]
(63165982b4c9b036b18a2c61,6316597f7fcbbaa866fae153)	[2.589394807815552, 0.5396825396825397, 0.5483870967741935, 0.53125, 0.5397505397508097, 0.3695652173913043]
(63165982b4c9b036b18a2c61,6316597f7fcbbaa866fae844)	[2.603708028793335, 0.6024096385542169, 0.7352941176470589, 0.5102040816326531, 0.6124949469375315, 0.4310344827586206]
(63165982b4c9b036b18a2c61,6316597f7fcbbaa866fae166)	[2.538196086883545, 0.5490196078431372, 0.4375, 0.7368421052631579, 0.5677749739576687, 0.3783783783783784]
(63165982b4c9b036b18a2c61,6316597f7fcbbaa866fae18f)	[2.74315881729126, 0.6101694915254238, 0.5625, 0.6666666666666666, 0.6123724356957945, 0.4390243902439024]
