pos	int	
41.8965	691.00	
41.9621	709.00	
42.0015	660.00	
42.0803	660.00	
42.1459	659.00	
42.2115	635.00	
42.2378	630.00	
42.2640	635.00	
42.3034	674.00	
42.3428	647.00	
42.3691	656.00	
42.4085	662.00	
42.4347	623.00	
42.4872	665.00	
42.5529	645.00	
42.6185	683.00	
42.6448	697.00	
42.7498	744.00	
42.8679	1287.00	
42.9861	1022.00	
43.0648	723.00	
43.1174	669.00	
43.1436	658.00	
43.1699	661.00	
43.2618	676.00	
43.3405	698.00	
43.3668	679.00	
43.3930	673.00	
43.4456	667.00	
43.4849	647.00	
43.5374	664.00	
43.5900	642.00	
43.6293	639.00	
43.6687	699.00	
43.7737	639.00	
43.8263	655.00	
43.8788	638.00	
43.9575	622.00	
43.9838	622.00	
44.0100	632.00	
44.0626	646.00	
44.1151	624.00	
44.1413	622.00	
44.1676	667.00	
44.2595	657.00	
44.2857	648.00	
44.3120	693.00	
44.3645	642.00	
44.4039	634.00	
44.4433	669.00	
44.4695	649.00	
44.4958	651.00	
44.5220	614.00	
44.5483	621.00	
44.5745	653.00	
44.6139	639.00	
44.6664	654.00	
44.6927	647.00	
44.7189	594.00	
44.7452	619.00	
44.7715	626.00	
44.7977	627.00	
44.8240	631.00	
44.8765	632.00	
44.9027	679.00	
44.9290	652.00	
44.9684	625.00	
45.0209	616.00	
45.0603	625.00	
45.0997	615.00	
45.1784	653.00	
45.2178	632.00	
45.2703	622.00	
45.3097	648.00	
45.3491	641.00	
45.3885	645.00	
45.4410	654.00	
45.4804	627.00	
45.5066	634.00	
45.5329	674.00	
45.5854	618.00	
45.6642	641.00	
45.7035	642.00	
45.7560	655.00	
45.8217	651.00	
45.8611	639.00	
45.9005	641.00	
45.9267	636.00	
45.9530	658.00	
45.9923	681.00	
46.0186	699.00	
46.0580	761.00	
46.1368	956.00	
46.1630	928.00	
46.2155	847.00	
46.2680	867.00	
46.3074	832.00	
46.3468	673.00	
46.3993	648.00	
46.4518	617.00	
46.4781	693.00	
46.5175	619.00	
46.5568	647.00	
46.5831	642.00	
46.6094	649.00	
46.6619	631.00	
46.7144	653.00	
46.7538	629.00	
46.8194	650.00	
46.8457	624.00	
46.8719	618.00	
46.8982	640.00	
46.9507	608.00	
46.9901	636.00	
47.0163	638.00	
47.0557	646.00	
47.0820	598.00	
47.1607	635.00	
47.2132	656.00	
47.2395	601.00	
47.3051	653.00	
47.3314	634.00	
47.3708	626.00	
47.4102	615.00	
47.4495	631.00	
47.4889	626.00	
47.5152	629.00	
47.5546	613.00	
47.5808	610.00	
47.6202	680.00	
47.6465	615.00	
47.6858	630.00	
47.7121	646.00	
47.7515	664.00	
47.8040	620.00	
47.8565	635.00	
47.8828	635.00	
47.9221	615.00	
47.9484	616.00	
47.9746	620.00	
48.0140	635.00	
48.0534	605.00	
48.1191	637.00	
48.1584	619.00	
48.1978	650.00	
48.2372	612.00	
48.2635	639.00	
48.3291	629.00	
48.3554	613.00	
48.4079	637.00	
48.4341	622.00	
48.4604	651.00	
48.4998	628.00	
48.5260	633.00	
48.5785	645.00	
48.6310	675.00	
48.6704	666.00	
48.7098	609.00	
48.7492	629.00	
48.7886	670.00	
48.8280	629.00	
48.8673	609.00	
48.9067	703.00	
48.9330	660.00	
48.9724	651.00	
49.0380	604.00	
49.0774	645.00	
49.1168	643.00	
49.1430	653.00	
49.1693	652.00	
49.1955	611.00	
49.2218	607.00	
49.2480	626.00	
49.3006	623.00	
49.3662	626.00	
49.3925	631.00	
49.4187	607.00	
49.4712	620.00	
49.4975	634.00	
49.5237	605.00	
49.5631	612.00	
49.5894	628.00	
49.6156	618.00	
49.6419	606.00	
49.6813	613.00	
49.7338	669.00	
49.7994	616.00	
49.8257	594.00	
49.8519	646.00	
49.8782	639.00	
49.9176	629.00	
49.9569	676.00	
49.9832	612.00	
50.0095	616.00	
50.0357	620.00	
50.0620	669.00	
50.1014	653.00	
50.1276	647.00	
50.2064	628.00	
50.2326	653.00	
50.2589	629.00	
50.2983	603.00	
50.3377	610.00	
50.3639	629.00	
50.4427	597.00	
50.4689	623.00	
50.5083	640.00	
50.5346	649.00	
50.5740	622.00	
50.6002	599.00	
50.6265	622.00	
50.6921	635.00	
50.7709	631.00	
50.8234	607.00	
