pos	int
17.0127	39.00
17.0257	39.00
17.0387	44.00
17.0517	39.00
17.0647	42.00
17.0777	43.00
17.0907	50.00
17.1037	44.00
17.1167	31.00
17.1297	35.00
17.1427	33.00
17.1557	35.00
17.1687	35.00
17.1817	37.00
17.1947	38.00
17.2077	32.00
17.2207	37.00
17.2337	44.00
17.2467	37.00
17.2597	36.00
17.2727	44.00
17.2856	44.00
17.2986	39.00
17.3116	40.00
17.3246	44.00
17.3376	38.00
17.3506	34.00
17.3636	35.00
17.3766	39.00
17.3896	40.00
17.4026	41.00
17.4156	43.00
17.4286	42.00
17.4416	45.00
17.4546	35.00
17.4676	31.00
17.4806	37.00
17.4936	40.00
17.5066	40.00
17.5196	32.00
17.5326	38.00
17.5456	52.00
17.5586	45.00
17.5716	40.00
17.5846	43.00
17.5976	38.00
17.6106	38.00
17.6236	37.00
17.6366	41.00
17.6496	38.00
17.6626	36.00
17.6756	39.00
17.6886	35.00
17.7016	31.00
17.7146	35.00
17.7276	38.00
17.7406	35.00
17.7536	40.00
17.7666	32.00
17.7796	43.00
17.7926	31.00
17.8056	37.00
17.8185	36.00
17.8315	30.00
17.8445	36.00
17.8575	42.00
17.8705	36.00
17.8835	40.00
17.8965	40.00
17.9095	32.00
17.9225	39.00
17.9355	33.00
17.9485	48.00
17.9615	35.00
17.9745	37.00
17.9875	42.00
18.0005	29.00
18.0135	39.00
18.0265	32.00
18.0395	26.00
18.0525	23.00
18.0655	27.00
18.0785	34.00
18.0915	36.00
18.1045	52.00
18.1175	46.00
18.1305	51.00
18.1435	51.00
18.1565	51.00
18.1695	33.00
18.1825	27.00
18.1955	43.00
18.2085	39.00
18.2215	41.00
18.2345	33.00
18.2475	35.00
18.2605	40.00
18.2735	44.00
18.2865	47.00
18.2995	35.00
18.3125	37.00
18.3255	38.00
18.3385	32.00
18.3514	33.00
18.3644	34.00
18.3774	28.00
18.3904	34.00
18.4034	44.00
18.4164	45.00
18.4294	40.00
18.4424	35.00
18.4554	32.00
18.4684	41.00
18.4814	45.00
18.4944	46.00
18.5074	45.00
18.5204	33.00
18.5334	28.00
18.5464	30.00
18.5594	33.00
18.5724	34.00
18.5854	33.00
18.5984	30.00
18.6114	35.00
18.6244	42.00
18.6374	38.00
18.6504	33.00
18.6634	42.00
18.6764	38.00
18.6894	43.00
18.7024	40.00
18.7154	30.00
18.7284	38.00
18.7414	38.00
18.7544	28.00
18.7674	29.00
18.7804	33.00
18.7934	35.00
18.8064	26.00
18.8194	36.00
18.8324	48.00
18.8454	39.00
18.8584	34.00
18.8714	35.00
18.8844	29.00
18.8973	31.00
18.9103	30.00
18.9233	34.00
18.9363	38.00
18.9493	46.00
18.9623	33.00
18.9753	25.00
18.9883	29.00
19.0013	30.00
19.0143	34.00
19.0273	37.00
19.0403	27.00
19.0533	35.00
19.0663	36.00
19.0793	35.00
19.0923	29.00
19.1053	29.00
19.1183	35.00
19.1313	31.00
19.1443	35.00
19.1573	47.00
19.1703	32.00
19.1833	32.00
19.1963	33.00
19.2093	28.00
19.2223	40.00
19.2353	39.00
19.2483	34.00
19.2613	34.00
19.2743	40.00
19.2873	46.00
19.3003	35.00
19.3133	34.00
19.3263	40.00
19.3393	29.00
19.3523	31.00
19.3653	35.00
19.3783	34.00
19.3913	41.00
19.4043	34.00
19.4173	35.00
19.4302	31.00
19.4432	34.00
19.4562	29.00
19.4692	32.00
19.4822	30.00
19.4952	28.00
19.5082	35.00
19.5212	33.00
19.5342	33.00
19.5472	29.00
19.5602	31.00
19.5732	36.00
19.5862	34.00
19.5992	34.00
19.6122	36.00
19.6252	42.00
19.6382	47.00
19.6512	47.00
19.6642	37.00
19.6772	30.00
19.6902	27.00
19.7032	29.00
19.7162	35.00
19.7292	39.00
19.7422	36.00
19.7552	32.00
19.7682	38.00
19.7812	47.00
19.7942	53.00
19.8072	47.00
19.8202	34.00
19.8332	34.00
19.8462	35.00
19.8592	37.00
19.8722	38.00
19.8852	30.00
19.8982	33.00
19.9112	37.00
19.9242	39.00
19.9372	36.00
19.9502	33.00
19.9632	34.00
19.9761	37.00
19.9891	37.00
20.0021	32.00
20.0151	36.00
20.0281	33.00
20.0411	34.00
20.0541	31.00
20.0671	37.00
20.0801	34.00
20.0931	29.00
20.1061	33.00
20.1191	36.00
20.1321	27.00
20.1451	35.00
20.1581	27.00
20.1711	28.00
20.1841	35.00
20.1971	33.00
20.2101	31.00
20.2231	33.00
20.2361	33.00
20.2491	41.00
20.2621	27.00
20.2751	31.00
20.2881	29.00
20.3011	36.00
20.3141	28.00
20.3271	30.00
20.3401	34.00
20.3531	38.00
20.3661	34.00
20.3791	31.00
20.3921	33.00
20.4051	27.00
20.4181	41.00
20.4311	39.00
20.4441	36.00
20.4571	30.00
20.4701	23.00
20.4831	37.00
20.4961	37.00
20.5090	34.00
20.5220	34.00
20.5350	28.00
20.5480	26.00
20.5610	29.00
20.5740	31.00
20.5870	29.00
20.6000	38.00
20.6130	42.00
20.6260	37.00
20.6390	34.00
20.6520	26.00
20.6650	30.00
20.6780	30.00
20.6910	46.00
20.7040	40.00
20.7170	34.00
20.7300	32.00
20.7430	43.00
20.7560	27.00
20.7690	26.00
20.7820	30.00
20.7950	35.00
20.8080	26.00
20.8210	29.00
20.8340	27.00
20.8470	31.00
20.8600	37.00
20.8730	34.00
20.8860	38.00
20.8990	38.00
20.9120	34.00
20.9250	31.00
20.9380	29.00
20.9510	29.00
20.9640	30.00
20.9770	40.00
20.9900	41.00
21.0030	30.00
21.0160	31.00
21.0290	35.00
21.0420	36.00
21.0549	28.00
21.0679	27.00
21.0809	34.00
21.0939	31.00
21.1069	31.00
21.1199	36.00
21.1329	33.00
21.1459	29.00
21.1589	27.00
21.1719	24.00
21.1849	28.00
21.1979	35.00
21.2109	40.00
21.2239	36.00
21.2369	26.00
21.2499	29.00
21.2629	32.00
21.2759	38.00
21.2889	34.00
21.3019	29.00
21.3149	26.00
21.3279	32.00
21.3409	36.00
21.3539	44.00
21.3669	37.00
21.3799	27.00
21.3929	32.00
21.4059	30.00
21.4189	39.00
21.4319	34.00
21.4449	39.00
21.4579	42.00
21.4709	40.00
21.4839	32.00
21.4969	33.00
21.5099	36.00
21.5229	36.00
21.5359	41.00
21.5489	31.00
21.5619	44.00
21.5749	24.00
21.5878	27.00
21.6008	33.00
21.6138	41.00
21.6268	34.00
21.6398	34.00
21.6528	28.00
21.6658	30.00
21.6788	35.00
21.6918	30.00
21.7048	32.00
21.7178	35.00
21.7308	36.00
21.7438	33.00
21.7568	29.00
21.7698	33.00
21.7828	43.00
21.7958	32.00
21.8088	29.00
21.8218	22.00
21.8348	28.00
21.8478	28.00
21.8608	35.00
21.8738	27.00
21.8868	39.00
21.8998	23.00
21.9128	41.00
21.9258	36.00
21.9388	30.00
21.9518	30.00
21.9648	33.00
21.9778	29.00
21.9908	29.00
22.0038	31.00
22.0168	29.00
22.0298	32.00
22.0428	33.00
22.0558	31.00
22.0688	34.00
22.0818	45.00
22.0948	31.00
22.1078	34.00
22.1207	28.00
22.1337	23.00
22.1467	29.00
22.1597	32.00
22.1727	28.00
22.1857	37.00
22.1987	39.00
22.2117	37.00
22.2247	36.00
22.2377	36.00
22.2507	44.00
22.2637	39.00
22.2767	29.00
22.2897	32.00
22.3027	33.00
22.3157	38.00
22.3287	36.00
22.3417	27.00
22.3547	30.00
22.3677	37.00
22.3807	34.00
22.3937	32.00
22.4067	33.00
22.4197	40.00
22.4327	37.00
22.4457	31.00
22.4587	34.00
22.4717	36.00
22.4847	38.00
22.4977	34.00
22.5107	32.00
22.5237	29.00
22.5367	24.00
22.5497	28.00
22.5627	31.00
22.5757	31.00
22.5887	34.00
22.6017	39.00
22.6147	42.00
22.6277	42.00
22.6407	37.00
22.6537	22.00
22.6666	23.00
22.6796	31.00
22.6926	30.00
22.7056	28.00
22.7186	32.00
22.7316	24.00
22.7446	27.00
22.7576	33.00
22.7706	37.00
22.7836	31.00
22.7966	22.00
22.8096	34.00
22.8226	36.00
22.8356	32.00
22.8486	31.00
22.8616	35.00
22.8746	34.00
22.8876	34.00
22.9006	28.00
22.9136	43.00
22.9266	40.00
22.9396	39.00
22.9526	34.00
22.9656	23.00
22.9786	33.00
22.9916	34.00
23.0046	33.00
23.0176	29.00
23.0306	26.00
23.0436	37.00
23.0566	34.00
23.0696	30.00
23.0826	37.00
23.0956	27.00
23.1086	20.00
23.1216	39.00
23.1346	25.00
23.1476	45.00
23.1606	33.00
23.1736	31.00
23.1866	37.00
23.1995	25.00
23.2125	34.00
23.2255	29.00
23.2385	34.00
23.2515	23.00
23.2645	40.00
23.2775	31.00
23.2905	39.00
23.3035	40.00
23.3165	35.00
23.3295	34.00
23.3425	40.00
23.3555	38.00
23.3685	31.00
23.3815	31.00
23.3945	22.00
23.4075	26.00
23.4205	36.00
23.4335	34.00
23.4465	41.00
23.4595	35.00
23.4725	37.00
23.4855	31.00
23.4985	30.00
23.5115	32.00
23.5245	32.00
23.5375	27.00
23.5505	35.00
23.5635	37.00
23.5765	33.00
23.5895	30.00
23.6025	34.00
23.6155	34.00
23.6285	33.00
23.6415	34.00
23.6545	42.00
23.6675	40.00
23.6805	33.00
23.6935	44.00
23.7065	42.00
23.7195	31.00
23.7325	31.00
23.7454	39.00
23.7584	39.00
23.7714	32.00
23.7844	26.00
23.7974	28.00
23.8104	27.00
23.8234	29.00
23.8364	36.00
23.8494	31.00
23.8624	34.00
23.8754	39.00
23.8884	43.00
23.9014	35.00
23.9144	31.00
23.9274	32.00
23.9404	30.00
23.9534	35.00
23.9664	33.00
23.9794	32.00
23.9924	40.00
24.0054	39.00
24.0184	39.00
24.0314	36.00
24.0444	43.00
24.0574	39.00
24.0704	26.00
24.0834	31.00
24.0964	31.00
24.1094	30.00
24.1224	29.00
24.1354	39.00
24.1484	33.00
24.1614	39.00
24.1744	32.00
24.1874	30.00
24.2004	34.00
24.2134	25.00
24.2264	28.00
24.2394	31.00
24.2524	31.00
24.2654	34.00
24.2783	34.00
24.2913	25.00
24.3043	25.00
24.3173	40.00
24.3303	35.00
24.3433	47.00
24.3563	27.00
24.3693	19.00
24.3823	29.00
24.3953	23.00
24.4083	33.00
24.4213	38.00
24.4343	37.00
24.4473	34.00
24.4603	26.00
24.4733	29.00
24.4863	28.00
24.4993	33.00
24.5123	52.00
24.5253	53.00
24.5383	39.00
24.5513	33.00
24.5643	24.00
