#PWDR MnO2_Unmilled_Air_InitialScan.xrdml Scan 1 Peak List 
#wavelength =   1.540600
#      pos        dsp        esd          int        esd        sig        gam       FWHM
   14.5127    6.09855    0.00000      1106.00       0.00    0.00010    0.00000    0.00000 
   14.5389    6.08759    0.00000      1093.00       0.00    0.00010    0.00000    0.00000 
   14.5783    6.07123    0.00000      1086.00       0.00    0.00010    0.00000    0.00000 
   14.6309    6.04955    0.00000      1094.00       0.00    0.00010    0.00000    0.00000 
   14.6571    6.03878    0.00000      1122.00       0.00    0.00010    0.00000    0.00000 
   14.6965    6.02268    0.00000      1101.00       0.00    0.00010    0.00000    0.00000 
   14.7622    5.99604    0.00000      1104.00       0.00    0.00010    0.00000    0.00000 
   14.7884    5.98545    0.00000      1065.00       0.00    0.00010    0.00000    0.00000 
   14.8147    5.97490    0.00000      1016.00       0.00    0.00010    0.00000    0.00000 
   14.8409    5.96439    0.00000      1102.00       0.00    0.00010    0.00000    0.00000 
   14.8672    5.95391    0.00000      1105.00       0.00    0.00010    0.00000    0.00000 
   14.9066    5.93827    0.00000      1080.00       0.00    0.00010    0.00000    0.00000 
   14.9460    5.92271    0.00000      1097.00       0.00    0.00010    0.00000    0.00000 
   14.9722    5.91238    0.00000      1106.00       0.00    0.00010    0.00000    0.00000 
   15.0116    5.89695    0.00000      1020.00       0.00    0.00010    0.00000    0.00000 
   15.0773    5.87142    0.00000      1084.00       0.00    0.00010    0.00000    0.00000 
   15.1298    5.85116    0.00000      1057.00       0.00    0.00010    0.00000    0.00000 
   15.1692    5.83605    0.00000      1034.00       0.00    0.00010    0.00000    0.00000 
   15.2217    5.81603    0.00000      1080.00       0.00    0.00010    0.00000    0.00000 
   15.2480    5.80607    0.00000      1046.00       0.00    0.00010    0.00000    0.00000 
   15.2874    5.79120    0.00000      1063.00       0.00    0.00010    0.00000    0.00000 
   15.3399    5.77149    0.00000       998.00       0.00    0.00010    0.00000    0.00000 
   15.3793    5.75680    0.00000      1059.00       0.00    0.00010    0.00000    0.00000 
   15.4055    5.74704    0.00000      1058.00       0.00    0.00010    0.00000    0.00000 
   15.4449    5.73248    0.00000      1019.00       0.00    0.00010    0.00000    0.00000 
   15.4712    5.72280    0.00000      1056.00       0.00    0.00010    0.00000    0.00000 
   15.5106    5.70836    0.00000      1024.00       0.00    0.00010    0.00000    0.00000 
   15.5368    5.69877    0.00000      1065.00       0.00    0.00010    0.00000    0.00000 
   15.5894    5.67969    0.00000       983.00       0.00    0.00010    0.00000    0.00000 
   15.6288    5.66546    0.00000      1061.00       0.00    0.00010    0.00000    0.00000 
   15.7075    5.63722    0.00000       996.00       0.00    0.00010    0.00000    0.00000 
   15.7338    5.62787    0.00000      1059.00       0.00    0.00010    0.00000    0.00000 
   15.7732    5.61391    0.00000      1007.00       0.00    0.00010    0.00000    0.00000 
   15.7995    5.60464    0.00000      1003.00       0.00    0.00010    0.00000    0.00000 
   15.8520    5.58618    0.00000      1013.00       0.00    0.00010    0.00000    0.00000 
   15.9045    5.56786    0.00000      1041.00       0.00    0.00010    0.00000    0.00000 
   15.9701    5.54511    0.00000      1037.00       0.00    0.00010    0.00000    0.00000 
   16.0095    5.53156    0.00000      1044.00       0.00    0.00010    0.00000    0.00000 
   16.0621    5.51359    0.00000      1061.00       0.00    0.00010    0.00000    0.00000 
   16.1014    5.50019    0.00000      1033.00       0.00    0.00010    0.00000    0.00000 
   16.1277    5.49129    0.00000       971.00       0.00    0.00010    0.00000    0.00000 
   16.1671    5.47800    0.00000      1041.00       0.00    0.00010    0.00000    0.00000 
   16.2065    5.46478    0.00000      1025.00       0.00    0.00010    0.00000    0.00000 
   16.2459    5.45161    0.00000       979.00       0.00    0.00010    0.00000    0.00000 
   16.2721    5.44288    0.00000      1000.00       0.00    0.00010    0.00000    0.00000 
   16.3115    5.42982    0.00000      1053.00       0.00    0.00010    0.00000    0.00000 
   16.3641    5.41251    0.00000      1000.00       0.00    0.00010    0.00000    0.00000 
   16.4034    5.39960    0.00000      1014.00       0.00    0.00010    0.00000    0.00000 
   16.4560    5.38249    0.00000       997.00       0.00    0.00010    0.00000    0.00000 
   16.4954    5.36972    0.00000      1028.00       0.00    0.00010    0.00000    0.00000 
   16.5741    5.34437    0.00000       994.00       0.00    0.00010    0.00000    0.00000 
   16.6135    5.33179    0.00000       988.00       0.00    0.00010    0.00000    0.00000 
   16.6529    5.31927    0.00000       990.00       0.00    0.00010    0.00000    0.00000 
   16.6923    5.30680    0.00000       998.00       0.00    0.00010    0.00000    0.00000 
   16.7580    5.28616    0.00000      1012.00       0.00    0.00010    0.00000    0.00000 
   16.7974    5.27385    0.00000       964.00       0.00    0.00010    0.00000    0.00000 
   16.8499    5.25753    0.00000      1025.00       0.00    0.00010    0.00000    0.00000 
   16.8893    5.24536    0.00000      1025.00       0.00    0.00010    0.00000    0.00000 
   16.9549    5.22520    0.00000       990.00       0.00    0.00010    0.00000    0.00000 
   16.9943    5.21317    0.00000      1010.00       0.00    0.00010    0.00000    0.00000 
   17.0600    5.19326    0.00000      1003.00       0.00    0.00010    0.00000    0.00000 
   17.1387    5.16957    0.00000       964.00       0.00    0.00010    0.00000    0.00000 
   17.1913    5.15389    0.00000       986.00       0.00    0.00010    0.00000    0.00000 
   17.2438    5.13831    0.00000       974.00       0.00    0.00010    0.00000    0.00000 
   17.2700    5.13056    0.00000       980.00       0.00    0.00010    0.00000    0.00000 
   17.2963    5.12283    0.00000       951.00       0.00    0.00010    0.00000    0.00000 
   17.3357    5.11127    0.00000      1031.00       0.00    0.00010    0.00000    0.00000 
   17.3882    5.09595    0.00000       987.00       0.00    0.00010    0.00000    0.00000 
   17.4539    5.07693    0.00000       973.00       0.00    0.00010    0.00000    0.00000 
   17.5064    5.06182    0.00000       955.00       0.00    0.00010    0.00000    0.00000 
   17.5589    5.04680    0.00000       957.00       0.00    0.00010    0.00000    0.00000 
   17.6114    5.03186    0.00000       953.00       0.00    0.00010    0.00000    0.00000 
   17.6377    5.02443    0.00000       963.00       0.00    0.00010    0.00000    0.00000 
   17.6771    5.01332    0.00000       956.00       0.00    0.00010    0.00000    0.00000 
   17.7033    5.00595    0.00000       934.00       0.00    0.00010    0.00000    0.00000 
   17.7690    4.98760    0.00000       992.00       0.00    0.00010    0.00000    0.00000 
   17.8084    4.97666    0.00000       970.00       0.00    0.00010    0.00000    0.00000 
   17.8478    4.96576    0.00000       967.00       0.00    0.00010    0.00000    0.00000 
   17.8740    4.95852    0.00000       982.00       0.00    0.00010    0.00000    0.00000 
   17.9003    4.95131    0.00000       996.00       0.00    0.00010    0.00000    0.00000 
   17.9397    4.94053    0.00000       938.00       0.00    0.00010    0.00000    0.00000 
   18.0053    4.92266    0.00000       941.00       0.00    0.00010    0.00000    0.00000 
   18.0447    4.91200    0.00000       921.00       0.00    0.00010    0.00000    0.00000 
   18.0841    4.90139    0.00000       921.00       0.00    0.00010    0.00000    0.00000 
   18.1235    4.89083    0.00000       923.00       0.00    0.00010    0.00000    0.00000 
   18.1760    4.87681    0.00000       964.00       0.00    0.00010    0.00000    0.00000 
   18.2286    4.86288    0.00000       951.00       0.00    0.00010    0.00000    0.00000 
   18.2679    4.85248    0.00000       948.00       0.00    0.00010    0.00000    0.00000 
   18.3205    4.83869    0.00000       934.00       0.00    0.00010    0.00000    0.00000 
   18.3599    4.82840    0.00000       952.00       0.00    0.00010    0.00000    0.00000 
   18.4255    4.81134    0.00000       993.00       0.00    0.00010    0.00000    0.00000 
   18.4518    4.80455    0.00000       900.00       0.00    0.00010    0.00000    0.00000 
   18.4780    4.79778    0.00000       931.00       0.00    0.00010    0.00000    0.00000 
   18.5174    4.78767    0.00000       952.00       0.00    0.00010    0.00000    0.00000 
   18.5568    4.77759    0.00000       967.00       0.00    0.00010    0.00000    0.00000 
   18.5962    4.76756    0.00000       917.00       0.00    0.00010    0.00000    0.00000 
   18.6487    4.75425    0.00000       926.00       0.00    0.00010    0.00000    0.00000 
   18.7012    4.74102    0.00000       888.00       0.00    0.00010    0.00000    0.00000 
   18.7538    4.72786    0.00000       925.00       0.00    0.00010    0.00000    0.00000 
   18.7800    4.72131    0.00000       883.00       0.00    0.00010    0.00000    0.00000 
   18.8063    4.71477    0.00000       917.00       0.00    0.00010    0.00000    0.00000 
   18.8457    4.70501    0.00000       937.00       0.00    0.00010    0.00000    0.00000 
   18.8982    4.69205    0.00000       934.00       0.00    0.00010    0.00000    0.00000 
   18.9638    4.67595    0.00000       964.00       0.00    0.00010    0.00000    0.00000 
   19.0164    4.66316    0.00000       922.00       0.00    0.00010    0.00000    0.00000 
   19.0426    4.65679    0.00000       920.00       0.00    0.00010    0.00000    0.00000 
   19.0689    4.65043    0.00000       882.00       0.00    0.00010    0.00000    0.00000 
   19.1083    4.64093    0.00000       897.00       0.00    0.00010    0.00000    0.00000 
   19.1739    4.62519    0.00000       911.00       0.00    0.00010    0.00000    0.00000 
   19.2133    4.61580    0.00000       930.00       0.00    0.00010    0.00000    0.00000 
   19.2527    4.60644    0.00000       935.00       0.00    0.00010    0.00000    0.00000 
   19.2790    4.60023    0.00000       919.00       0.00    0.00010    0.00000    0.00000 
   19.3184    4.59094    0.00000       929.00       0.00    0.00010    0.00000    0.00000 
   19.3578    4.58168    0.00000       937.00       0.00    0.00010    0.00000    0.00000 
   19.4759    4.55415    0.00000       891.00       0.00    0.00010    0.00000    0.00000 
   19.5022    4.54808    0.00000       868.00       0.00    0.00010    0.00000    0.00000 
   19.5285    4.54202    0.00000       898.00       0.00    0.00010    0.00000    0.00000 
   19.5678    4.53296    0.00000       951.00       0.00    0.00010    0.00000    0.00000 
   19.6335    4.51795    0.00000       938.00       0.00    0.00010    0.00000    0.00000 
   19.6860    4.50602    0.00000       883.00       0.00    0.00010    0.00000    0.00000 
   19.7254    4.49711    0.00000       900.00       0.00    0.00010    0.00000    0.00000 
   19.7517    4.49119    0.00000       856.00       0.00    0.00010    0.00000    0.00000 
