pos	int
33.3505	527.00
33.3767	497.00
33.4030	515.00
33.4292	455.00
33.4555	429.00
33.4817	473.00
33.5080	484.00
33.5342	473.00
33.5605	481.00
33.5867	472.00
33.6130	465.00
33.6393	496.00
33.6655	491.00
33.6918	504.00
33.7180	487.00
33.7443	485.00
33.7705	460.00
33.7968	464.00
33.8230	473.00
33.8493	481.00
33.8755	489.00
33.9018	417.00
33.9281	452.00
33.9543	489.00
33.9806	534.00
34.0068	491.00
34.0331	448.00
34.0593	445.00
34.0856	476.00
34.1118	490.00
34.1381	455.00
34.1643	498.00
34.1906	485.00
34.2169	459.00
34.2431	464.00
34.2694	561.00
34.2956	507.00
34.3219	474.00
34.3481	475.00
34.3744	479.00
34.4006	452.00
34.4269	498.00
34.4531	447.00
34.4794	446.00
34.5057	469.00
34.5319	471.00
34.5582	463.00
34.5844	415.00
34.6107	455.00
34.6369	501.00
34.6632	412.00
34.6894	413.00
34.7157	461.00
34.7419	457.00
34.7682	439.00
34.7945	465.00
34.8207	397.00
34.8470	446.00
34.8732	459.00
34.8995	464.00
34.9257	414.00
34.9520	466.00
34.9782	465.00
35.0045	427.00
35.0307	457.00
35.0570	473.00
35.0833	427.00
35.1095	458.00
35.1358	443.00
35.1620	469.00
35.1883	467.00
35.2145	442.00
35.2408	446.00
35.2670	454.00
35.2933	451.00
35.3195	422.00
35.3458	416.00
35.3721	482.00
35.3983	432.00
35.4246	469.00
35.4508	456.00
35.4771	534.00
35.5033	473.00
35.5296	501.00
35.5558	463.00
35.5821	510.00
35.6083	492.00
35.6346	517.00
35.6609	487.00
35.6871	438.00
35.7134	481.00
35.7396	463.00
35.7659	444.00
35.7921	425.00
35.8184	394.00
35.8446	381.00
35.8709	393.00
35.8971	412.00
35.9234	374.00
35.9497	417.00
35.9759	389.00
36.0022	407.00
36.0284	428.00
36.0547	402.00
36.0809	418.00
36.1072	378.00
36.1334	417.00
36.1597	402.00
36.1859	414.00
36.2122	435.00
36.2385	378.00
36.2647	395.00
36.2910	394.00
36.3172	385.00
36.3435	394.00
36.3697	408.00
36.3960	396.00
36.4222	424.00
36.4485	354.00
36.4747	395.00
36.5010	441.00
36.5273	425.00
36.5535	420.00
36.5798	385.00
36.6060	396.00
36.6323	394.00
36.6585	406.00
36.6848	438.00
36.7110	407.00
36.7373	397.00
36.7635	348.00
36.7898	382.00
36.8161	372.00
36.8423	414.00
36.8686	374.00
36.8948	371.00
36.9211	361.00
36.9473	419.00
36.9736	404.00
36.9998	411.00
37.0261	380.00
37.0523	385.00
37.0786	380.00
37.1049	372.00
37.1311	381.00
37.1574	386.00
37.1836	409.00
37.2099	361.00
37.2361	413.00
37.2624	401.00
37.2886	399.00
37.3149	374.00
37.3411	430.00
37.3674	366.00
37.3937	366.00
37.4199	406.00
37.4462	396.00
37.4724	390.00
37.4987	388.00
37.5249	388.00
37.5512	358.00
37.5774	398.00
37.6037	399.00
37.6299	381.00
37.6562	403.00
37.6825	404.00
37.7087	450.00
37.7350	421.00
37.7612	380.00
37.7875	390.00
37.8137	402.00
37.8400	364.00
37.8662	403.00
37.8925	371.00
37.9187	384.00
37.9450	381.00
37.9713	412.00
37.9975	397.00
38.0238	391.00
38.0500	400.00
38.0763	414.00
38.1025	349.00
38.1288	382.00
38.1550	386.00
38.1813	419.00
38.2075	363.00
38.2338	408.00
38.2601	413.00
38.2863	338.00
38.3126	359.00
38.3388	356.00
38.3651	373.00
38.3913	421.00
38.4176	414.00
38.4438	389.00
38.4701	409.00
38.4963	416.00
38.5226	368.00
38.5489	372.00
38.5751	372.00
38.6014	361.00
38.6276	360.00
38.6539	392.00
38.6801	380.00
38.7064	390.00
38.7326	362.00
38.7589	379.00
38.7851	411.00
38.8114	343.00
38.8377	402.00
38.8639	365.00
38.8902	373.00
38.9164	393.00
38.9427	366.00
38.9689	362.00
38.9952	351.00
39.0214	351.00
39.0477	382.00
39.0739	382.00
39.1002	355.00
39.1265	399.00
39.1527	395.00
39.1790	421.00
39.2052	364.00
39.2315	391.00
39.2577	348.00
39.2840	371.00
39.3102	355.00
39.3365	383.00
39.3627	386.00
39.3890	360.00
39.4153	339.00
39.4415	336.00
39.4678	393.00
39.4940	382.00
39.5203	367.00
39.5465	347.00
39.5728	363.00
39.5990	337.00
39.6253	411.00
39.6515	323.00
39.6778	380.00
39.7041	352.00
39.7303	387.00
39.7566	381.00
39.7828	363.00
39.8091	382.00
39.8353	329.00
39.8616	363.00
39.8878	383.00
39.9141	393.00
39.9403	327.00
39.9666	346.00
39.9929	364.00
40.0191	362.00
40.0454	345.00
40.0716	320.00
40.0979	352.00
40.1241	376.00
40.1504	406.00
40.1766	394.00
40.2029	355.00
40.2291	424.00
40.2554	357.00
40.2817	372.00
40.3079	390.00
40.3342	411.00
40.3604	372.00
40.3867	389.00
40.4129	374.00
40.4392	373.00
40.4654	358.00
40.4917	369.00
40.5179	380.00
40.5442	361.00
40.5705	367.00
40.5967	401.00
40.6230	364.00
40.6492	383.00
40.6755	405.00
40.7017	407.00
40.7280	382.00
40.7542	393.00
40.7805	369.00
40.8067	370.00
40.8330	349.00
40.8593	394.00
40.8855	334.00
40.9118	353.00
40.9380	356.00
40.9643	398.00
40.9905	346.00
41.0168	388.00
41.0430	344.00
41.0693	360.00
41.0955	356.00
41.1218	382.00
41.1481	356.00
41.1743	375.00
41.2006	372.00
41.2268	310.00
41.2531	363.00
41.2793	347.00
41.3056	375.00
41.3318	363.00
41.3581	384.00
41.3843	358.00
41.4106	378.00
41.4369	351.00
41.4631	374.00
41.4894	367.00
41.5156	371.00
41.5419	358.00
41.5681	352.00
41.5944	354.00
41.6206	388.00
41.6469	349.00
41.6731	360.00
41.6994	372.00
41.7257	355.00
41.7519	320.00
41.7782	365.00
41.8044	409.00
41.8307	364.00
41.8569	349.00
41.8832	369.00
41.9094	387.00
41.9357	355.00
41.9619	401.00
41.9882	392.00
42.0145	367.00
42.0407	376.00
42.0670	369.00
42.0932	366.00
42.1195	405.00
42.1457	378.00
42.1720	350.00
42.1982	350.00
42.2245	389.00
42.2507	372.00
42.2770	422.00
42.3033	377.00
42.3295	430.00
42.3558	417.00
42.3820	415.00
42.4083	439.00
42.4345	491.00
