pos	int
16.1939	29.00
16.2068	20.00
16.2198	21.00
16.2328	25.00
16.2458	21.00
16.2588	19.00
16.2718	18.00
16.2848	17.00
16.2978	19.00
16.3108	20.00
16.3238	19.00
16.3368	21.00
16.3498	18.00
16.3628	15.00
16.3758	15.00
16.3888	24.00
16.4018	21.00
16.4148	24.00
16.4278	28.00
16.4408	25.00
16.4538	22.00
16.4668	27.00
16.4798	17.00
16.4928	17.00
16.5058	17.00
16.5188	13.00
16.5318	17.00
16.5448	22.00
16.5578	23.00
16.5708	27.00
16.5838	19.00
16.5968	21.00
16.6098	24.00
16.6228	24.00
16.6358	22.00
16.6488	24.00
16.6618	24.00
16.6748	20.00
16.6878	23.00
16.7008	21.00
16.7138	21.00
16.7268	25.00
16.7397	17.00
16.7527	15.00
16.7657	20.00
16.7787	23.00
16.7917	17.00
16.8047	18.00
16.8177	17.00
16.8307	17.00
16.8437	25.00
16.8567	25.00
16.8697	16.00
16.8827	16.00
16.8957	16.00
16.9087	19.00
16.9217	24.00
16.9347	23.00
16.9477	20.00
16.9607	25.00
16.9737	27.00
16.9867	22.00
16.9997	17.00
17.0127	14.00
17.0257	20.00
17.0387	20.00
17.0517	20.00
17.0647	25.00
17.0777	29.00
17.0907	22.00
17.1037	20.00
17.1167	19.00
17.1297	18.00
17.1427	20.00
17.1557	22.00
17.1687	19.00
17.1817	20.00
17.1947	26.00
17.2077	21.00
17.2207	19.00
17.2337	20.00
17.2467	24.00
17.2597	29.00
17.2727	20.00
17.2856	15.00
17.2986	21.00
17.3116	25.00
17.3246	18.00
17.3376	17.00
17.3506	17.00
17.3636	13.00
17.3766	16.00
17.3896	20.00
17.4026	21.00
17.4156	19.00
17.4286	23.00
17.4416	23.00
17.4546	19.00
17.4676	19.00
17.4806	21.00
17.4936	17.00
17.5066	18.00
17.5196	24.00
17.5326	23.00
17.5456	22.00
17.5586	16.00
17.5716	21.00
17.5846	19.00
17.5976	17.00
17.6106	17.00
17.6236	23.00
17.6366	23.00
17.6496	20.00
17.6626	16.00
17.6756	15.00
17.6886	19.00
17.7016	19.00
17.7146	16.00
17.7276	13.00
17.7406	17.00
17.7536	21.00
17.7666	16.00
17.7796	12.00
17.7926	19.00
17.8056	12.00
17.8185	15.00
17.8315	17.00
17.8445	20.00
17.8575	23.00
17.8705	17.00
17.8835	20.00
17.8965	22.00
17.9095	15.00
17.9225	28.00
17.9355	20.00
