pos	int	
17.6594	1543.00	
17.6785	1561.00	
17.6976	1483.00	
17.7166	1496.00	
17.7357	1556.00	
17.7547	1485.00	
17.7738	1521.00	
17.7928	1517.00	
17.8119	1528.00	
17.8309	1513.00	
17.8500	1445.00	
17.8690	1535.00	
17.8881	1519.00	
17.9071	1475.00	
17.9262	1517.00	
17.9452	1531.00	
17.9643	1542.00	
17.9834	1514.00	
18.0024	1521.00	
18.0215	1429.00	
18.0405	1473.00	
18.0596	1499.00	
18.0786	1526.00	
18.0977	1514.00	
18.1167	1552.00	
18.1358	1526.00	
18.1548	1543.00	
18.1739	1564.00	
18.1929	1482.00	
18.2120	1582.00	
18.2310	1520.00	
18.2501	1526.00	
18.2692	1513.00	
18.2882	1518.00	
18.3073	1480.00	
18.3263	1556.00	
18.3454	1535.00	
18.3644	1574.00	
18.3835	1607.00	
18.4025	1475.00	
18.4216	1521.00	
18.4406	1594.00	
18.4597	1599.00	
18.4787	1560.00	
18.4978	1627.00	
18.5168	1496.00	
18.5359	1531.00	
18.5550	1515.00	
18.5740	1529.00	
18.5931	1528.00	
18.6121	1599.00	
18.6312	1551.00	
18.6502	1568.00	
18.6693	1599.00	
18.6883	1573.00	
18.7074	1524.00	
18.7264	1461.00	
18.7455	1517.00	
18.7645	1501.00	
18.7836	1584.00	
18.8026	1544.00	
18.8217	1465.00	
18.8408	1545.00	
18.8598	1454.00	
18.8789	1493.00	
18.8979	1511.00	
18.9170	1456.00	
18.9360	1526.00	
18.9551	1551.00	
18.9741	1502.00	
18.9932	1458.00	
19.0122	1380.00	
19.0313	1452.00	
19.0503	1348.00	
19.0694	1423.00	
19.0884	1364.00	
19.1075	1324.00	
19.1266	1402.00	
19.1456	1364.00	
19.1647	1320.00	
19.1837	1382.00	
19.2028	1320.00	
19.2218	1344.00	
19.2409	1336.00	
19.2599	1341.00	
19.2790	1340.00	
19.2980	1254.00	
19.3171	1349.00	
19.3361	1349.00	
19.3552	1323.00	
19.3742	1367.00	
19.3933	1239.00	
19.4124	1279.00	
19.4314	1316.00	
19.4505	1284.00	
19.4695	1305.00	
19.4886	1336.00	
19.5076	1246.00	
19.5267	1280.00	
19.5457	1278.00	
19.5648	1273.00	
19.5838	1272.00	
19.6029	1272.00	
19.6219	1234.00	
19.6410	1297.00	
19.6600	1263.00	
19.6791	1215.00	
19.6982	1268.00	
19.7172	1296.00	
19.7363	1296.00	
19.7553	1218.00	
19.7744	1203.00	
19.7934	1268.00	
19.8125	1288.00	
19.8315	1187.00	
19.8506	1237.00	
19.8696	1160.00	
19.8887	1222.00	
19.9077	1280.00	
19.9268	1270.00	
19.9458	1166.00	
19.9649	1186.00	
19.9840	1239.00	
20.0030	1112.00	
20.0221	1237.00	
20.0411	1192.00	
20.0602	1206.00	
20.0792	1248.00	
20.0983	1193.00	
20.1173	1267.00	
20.1364	1225.00	
20.1554	1270.00	
20.1745	1190.00	
20.1935	1165.00	
20.2126	1123.00	
20.2316	1187.00	
20.2507	1143.00	
20.2698	1184.00	
20.2888	1207.00	
20.3079	1203.00	
20.3269	1177.00	
20.3460	1165.00	
20.3650	1199.00	
20.3841	1218.00	
20.4031	1180.00	
20.4222	1163.00	
20.4412	1183.00	
20.4603	1164.00	
20.4793	1148.00	
20.4984	1177.00	
20.5174	1228.00	
20.5365	1173.00	
20.5556	1185.00	
20.5746	1144.00	
20.5937	1155.00	
20.6127	1189.00	
20.6318	1169.00	
20.6508	1174.00	
20.6699	1134.00	
20.6889	1203.00	
20.7080	1141.00	
20.7270	1189.00	
20.7461	1286.00	
20.7651	1166.00	
20.7842	1243.00	
20.8032	1262.00	
